Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-05-08,Wednesday,3,09:20:00,73262.62,73300CE,421.0,706.65,313.0,515.9,True,2024-05-08 09:26:00,-89.46,73300PE,416.55,491.25,173.75,218.4,False,,192.94
2024-05-09,Thursday,2,09:20:00,73341.98,73500CE,326.0,330.0,25.45,27.05,False,,294.88,73500PE,352.5,1129.7,351.4,1108.8,True,2024-05-09 09:26:00,-74.91
2024-05-10,Friday,1,09:20:00,72388.75,72400CE,257.2,651.8,133.5,262.05,True,2024-05-10 09:23:00,-54.66,72400PE,219.85,216.7,0.05,0.05,False,,217.05
2024-05-13,Monday,5,09:20:00,72264.66,72400CE,567.8,840.8,373.6,831.7,True,2024-05-13 12:40:00,-120.66,72400PE,529.4,761.0,242.7,248.7,True,2024-05-13 09:34:00,-112.5
2024-05-14,Tuesday,4,09:20:00,72882.32,73000CE,451.35,641.35,351.0,517.45,True,2024-05-14 12:54:00,-95.91,73000PE,452.0,576.65,270.55,314.65,True,2024-05-14 09:25:00,-96.05
2024-05-15,Wednesday,3,09:20:00,73192.47,73200CE,414.1,475.0,241.85,305.0,False,,103.92,73200PE,369.8,588.0,299.4,385.4,True,2024-05-15 10:01:00,-78.58
2024-05-16,Thursday,2,09:20:00,73309.0,73300CE,324.1,547.1,87.3,530.25,True,2024-05-16 15:00:00,-68.87,73300PE,303.6,771.7,92.75,109.95,True,2024-05-16 09:32:00,-64.51
2024-05-17,Friday,1,09:20:00,73576.75,73500CE,243.3,554.0,153.0,415.1,True,2024-05-17 09:57:00,-51.7,73500PE,233.4,297.95,0.05,0.05,True,2024-05-17 09:23:00,-49.6
2024-05-21,Tuesday,4,09:20:00,73914.86,74000CE,507.0,599.6,405.35,476.75,False,,23.91,74000PE,501.95,541.55,296.9,390.0,False,,105.68
2024-05-22,Wednesday,3,09:20:00,73994.45,74100CE,394.15,489.7,331.45,451.65,True,2024-05-22 14:01:00,-83.76,74100PE,417.0,508.2,244.1,255.45,True,2024-05-22 09:44:00,-88.61
2024-05-23,Thursday,2,09:20:00,74214.87,74300CE,332.35,1182.4,300.6,1154.75,True,2024-05-23 09:36:00,-70.62,74300PE,335.75,358.85,29.3,29.4,False,,302.15
